founder_id,startup_id,role,equity_percentage,is_active
founder_736,startup_0,CEO,22.563688396290967,True
founder_487,startup_0,CPO,19.72787612634526,True
founder_701,startup_0,COO,10.16209155565642,True
founder_568,startup_0,CTO,15.127081105921743,True
founder_1758,startup_1,CEO,16.391459633046026,True
founder_1529,startup_1,Founder,12.210282969339547,True
founder_75,startup_1,CTO,10.623724898122322,True
founder_1650,startup_2,CEO,34.37597807798193,True
founder_279,startup_3,CEO,13.332000463513118,True
founder_999,startup_3,Founder,8.33128542498536,True
founder_879,startup_3,CTO,7.35047091124055,False
founder_1281,startup_4,CEO,38.886366092545636,True
founder_724,startup_4,Founder,9.479850681447179,True
founder_1916,startup_5,CEO,10.966606868599953,False
founder_1058,startup_5,Founder,13.724580558165156,True
founder_1485,startup_6,CEO,25.09557940475581,True
founder_1377,startup_7,CEO,20.398312420450413,True
founder_1451,startup_7,Founder,3.0226302592996603,True
founder_142,startup_7,Founder,6.811268776618615,True
founder_1699,startup_7,CTO,8.182356703680123,True
founder_1162,startup_8,CEO,36.03390007545484,True
founder_1270,startup_9,CEO,39.84621252988365,True
founder_1379,startup_9,Founder,17.60902310598349,True
founder_1433,startup_9,COO,17.336508545831766,True
founder_1549,startup_10,CEO,24.920710517890637,True
founder_1620,startup_10,COO,9.15234382110015,True
founder_1070,startup_10,COO,16.671017660685912,True
founder_85,startup_11,CEO,26.76544622111031,True
founder_997,startup_12,CEO,29.145071333546,True
founder_452,startup_12,Founder,6.503766386106566,True
founder_360,startup_13,CEO,27.532609565631592,True
founder_1949,startup_13,CTO,13.685536375633015,True
founder_1090,startup_14,CEO,7.585545700112128,True
founder_630,startup_15,CEO,12.629178559943727,True
founder_1081,startup_15,Founder,1.1593525035504464,True
founder_1256,startup_15,COO,18.34965036789691,True
founder_371,startup_16,CEO,13.34127577920941,True
founder_1308,startup_17,CEO,20.549966610041714,True
founder_773,startup_18,CEO,16.242980153930265,True
founder_396,startup_18,Founder,13.929908710328311,True
founder_1563,startup_19,CEO,31.580395401557077,True
founder_1144,startup_20,CEO,33.48328638370192,True
founder_1518,startup_20,CTO,8.463451562762426,True
founder_1015,startup_21,CEO,12.600070441191951,False
founder_347,startup_21,CTO,1.289594850652788,True
founder_1187,startup_21,CTO,10.671168060580994,True
founder_503,startup_22,CEO,26.481845940927965,True
founder_1804,startup_22,Founder,8.291285339451715,True
founder_1061,startup_22,COO,3.8185294468461066,True
founder_1496,startup_23,CEO,24.091496531274043,True
founder_1658,startup_23,CTO,5.724919443684131,True
founder_1761,startup_24,CEO,19.033306691066542,True
founder_121,startup_24,CPO,4.08443979430473,True
founder_1361,startup_25,CEO,39.97140489765785,True
founder_1816,startup_25,CTO,8.273935267222512,True
founder_1260,startup_25,COO,2.53812898640119,True
founder_974,startup_26,CEO,20.909918434283234,True
founder_1040,startup_26,CPO,9.99724247288344,True
founder_840,startup_27,CEO,35.00013873720293,True
founder_962,startup_27,CPO,19.999334638340756,True
founder_1035,startup_27,Founder,2.694288239260352,True
founder_649,startup_28,CEO,13.396276635616106,True
founder_832,startup_28,Founder,9.203818362553996,True
founder_1039,startup_29,CEO,27.090686374548497,True
founder_1548,startup_30,CEO,31.459676978038786,True
founder_1096,startup_30,Founder,8.279730213859207,True
founder_1190,startup_30,Founder,5.580886972095795,True
founder_1148,startup_31,CEO,38.69688352186996,True
founder_1990,startup_31,COO,7.644941571801708,True
founder_1304,startup_32,CEO,5.719843846789167,True
founder_1247,startup_32,CTO,10.812877946971549,True
founder_1175,startup_33,CEO,9.747510853861709,True
founder_431,startup_33,COO,18.005311618530182,True
founder_29,startup_33,COO,16.686870627149826,True
founder_1413,startup_33,CPO,8.260093299497989,True
founder_617,startup_34,CEO,33.192449836523004,True
founder_1455,startup_35,CEO,13.587435649000259,True
founder_983,startup_36,CEO,27.559321679083258,True
founder_65,startup_36,CPO,2.697286616207203,True
founder_896,startup_36,Founder,16.934897397940247,True
founder_1919,startup_37,CEO,34.500860212639864,True
founder_1598,startup_37,Founder,16.631541189927457,True
